username,tanggal,bintang,komentar
November November,2025-03-25,2,"masuknya ribet banget,semua kata sandi salah padahal udah ku ganti.coba bikin akun tinggal pencet/pilih doang,gtw kenapa tapi ngestuck terus dipendaftaran"
Sornes Umboh,2025-03-25,1,Bintang Satu Masih Aplikasi Animeplay Lebih Bagus Gak Premium Cuman Iklan Lalu Lengkap Sekali Masa Hellsing Saja Tidak Ketemu Payah Banget Aplikasi Ini My Aplikasi Underrated Lebih Lengkap
radiansyah,2025-03-24,4,"mohon tambahkan sub kategori film, biar gampang kalau mau cari film di Crunchyroll"
tantomi wijaya,2025-03-24,5,semangat
Hanif,2025-03-23,1,nih banyak kekurangan nya 1. anime nya sedikit 2. kekurangan info/genre anim yang mau di tonton 3. pusing judul nya inggris nyari nya juga mayan sulit 4. ada konten musik tapi tak bisa di mainkan. pokony wajib unistal
Syehadin (Din),2025-03-23,5,recommended
Shendy Cheeks,2025-03-23,4,tolong perbaiki lagi update anime baru suka gak bisa pake bahasa Indonesia. di sayangkan sudah berlangganan
Ilham Ilhamm,2025-03-23,5,ntapss
Fort Kun,2025-03-23,5,"Aplikasinya keren untuk streamingnya gak lemot, tapi tolong perbanyak CC Bahasa Indonesia."
Bigas Bigas,2025-03-22,5,Sangat bagus
Hagi Fatan,2025-03-22,1,"Nyesel udah langganan, banyak anime yang ga ada subtitle indonesia padahal anime lawas, anime on going rilis episode baru pun ga langsung ada subtitle indo nya. Nonton fire force eps 14 subtitle full salah, eps 15 ga ada sama sekali, jadi males lanjut. Cukup 1 bulan aja langganan, ga lagi lagi."
Arya Widiantoro,2025-03-22,5,bagus bnget apk nya
Uta Akah,2025-03-22,3,"Bagus sih, tapi untuk tidak semua anime ada subtitle indonesia."
Nabil,2025-03-22,4,TOLONG TAMBAHIN FITUR SPEED 2X. PLEASE ADD FITUR SPEED 2X
Oflien Oleng,2025-03-22,5,download ini cuma buat nonton solo leveling
M.Fauzi Belsan,2025-03-21,4,murahkan premiumnya dg banyakin anime subtitle Indonesia
Itadori Yuuji,2025-03-20,2,keterlaluan kebanyakan iklan sampe bisa 6 gila cuman ngincar uang
avhe putra,2025-03-20,1,banyak anime yang belum ada translate indonesia
MR_ERPE,2025-03-19,1,"udah langganan versi mega fan, , biar bisa downlowd, soalnya streaming macet-macet , tp gagal mulu download trus, , mending bajakan aja lah, , jauh lebih baik"
Aswatt,2025-03-19,1,AOT season 4 part 2 kenapa tidak ada subtitle nya?
Ti Ti,2025-03-19,5,mantap
Fernando Suebu,2025-03-18,5,kelas king
Genjiee Ffindonesia,2025-03-18,1,tidak bisa disimpan di berkas dan tidak ada pemberitahuan
Raid Alvaro,2025-03-18,1,"Tolong Perbanyak anime dengan subtitle/ CC Bahasa indonesia.... Saya join premium tetapi setelah memakai beberapa saat baru menyadari tidak semua anime disini dengan Takarir indonesia dan hanya beberapa, dan lagi pilihan anime nya tidak lengkap seperti overlord, Orb : on the movement of the earth dan masih banyak lagi yg tidak ada.... Alhasil ku batalkan langganan😭 untung masih free trial jadi belum dipungut biaya....Tolong perlengkap animenya, dan buat semuanya ada takarir indonesianya"
Naomi Praing,2025-03-18,5,lumayan
putra dance finger,2025-03-18,1,Sorry aplikasi nya jelek pengguna di bikin ribet
Rumah Besar,2025-03-16,5,Can you add Indonesian subtitles to English dubbing?
Ria Annisa,2025-03-16,5,lengkap coii
Hotba Sitompul,2025-03-16,1,"bintang 1 dl krna first time buat akun disini pke acount google tp ga kerespon,ga masuk pdhl di apk sebelah bisa"
Desta Andre,2025-03-15,1,"Tiba"" dana saya kesedot senilai Rp 32.000. 2kali karena tidak sengaja berlangganan,saya mohon untuk di kembalikan, terimakasih"
Hanif Alfarisy,2025-03-15,1,Ada anime yang tidak bisa di tonton dengan hanya VIP biasa. Kenapa harus pakai VIP yang lebih mahal. Dasar kikir
Drahmana w,2025-03-14,1,Emg punya ku yg bermasalah atau ngk ak jg ngk tau padahal ak udh ksh kata sandi sm email yg benar tpi ngk terivikasi knp ngk di permudah aj gitu langsung ad pilihan masuk pake akun google knp hrs ad kek gitu?? Memperumit aj..
Gugun Turr332,2025-03-14,1,"jadi beberapa hari yg lalu saya mendaftar vip, dan di situ tertulis jelas bahwa pembayaran seharga 0rupiah, setelah tadi saya dapat kiriman dari dana ternyata sebagian di ambil oleh aplikasi ini, sebanyak 43RB di kirim nya 100rb. saya tidak kecewa dengan aplikasi nya namun kenapa ini bisa terjadi. padahal itu untuk uang seminggu"
Valerie Manurung,2025-03-14,5,pokoknya recommended banget untuk di pakai untuk nonton animee💋😋💗💗
nejse,2025-03-14,5,sangat bagus
Muhamad Fardan Firmansyah,2025-03-13,3,"Kenapa ya sebagian anime di apk ini tidak ada episodenya satupun, tapi kalau dicari animenya ada. Apakah ini memang bug, internet saya yang tidak memadai, atau memang ada batasan bagin region indonesia ?"
marlin anggara,2025-03-13,2,Subtitle indonesia sangat terbatas
Brian Radithya Santoso,2025-03-13,4,why is there no detective conan?
Pro Player,2025-03-13,5,aplikasi nya sudah mantap
Y Saja,2025-03-11,4,Baru mau download sih tapi yang ku harapkan ada yosuga no sora
AHMAD DAHURI Antoni,2025-03-11,5,sangat bagus sekali
Zidane Rifqi uwais,2025-03-11,2,Aplikasinya lumayan bagus tapi ada kekuranganya yaiut anime yang saya cari yaitu naruto uzumaki tidak ada
Muhammad Dzaky Al Baihaqi,2025-03-11,4,hanya kurang untuk takarir Indonesia nya
Salman Fauzan,2025-03-11,3,Ok personal si bagus tapi ada yg kurang iklan untuk grafik subtitles dll untuk para kaum rebahan sih ok
Rasy,2025-03-10,1,"Di beberapa anime gaada sub indo bahkan yg populer kyk frieren menurut gw gak masalah buat gw tapi, quintessential quintuplets pas dicari 0 season 0 ep padahal gw pengennya itu, tolonglah di cek pliss gw dah bayar premium anime yg populer kyk quintessential quintuplets aja gaada padahal katanya terlengkap, sekelas oshi no ko aja gaada sebelah aja sampe ada movienya quintessential quintuplets, gw edit klo dah ada"
Rasy,2025-03-10,5,"lancar, semuanya bagus cuman kalo buat yang gratisan kebanyakan iklannya tapi harganya buat langganan cukup murah jadi lumayang worth it. kedepannya semoga semua anime ada subtitle indonya buat yang gabisa bahasa inggris karena ada beberapa anime gaada sub indo (mungkin karna animenya masih baru dan blum terlalu populer) semoga cepat dibenahi agar bisa dinikmati semua orang sama subtitle indo nyasemoga bahasanya bisa semakin baik dan overall worth it bgt sih"
Kevin Alvian Febriano,2025-03-10,5,Perbanyak anime dan subtitle indonesia
X _RNZZ,2025-03-09,1,"apalah ni aplikasi gw udh premium di tinggal seminggu , pas mau rewatch my dress up darling anime nya malah gk ada"
Asrul,2025-03-09,4,Lumayan
Cendra Irawan,2025-03-09,5,aplikasi keren dan saya suka. lebih bagus dri Bstation🤭 disini akun premium nya lebih murah😁
Nur Uswatun,2025-03-08,1,"Sorry jelek banget, iklannya ngeganggu banget masa satu kali iklan 5 jenis iklan dengan total durasi 3-4 menit belum lagi dalam satu episode iklannya lewat tiga kali dgn total keseluruhan iklan jadi 9-12 menit udah kayak nonton satu episode anime dengan kecepatan 2x skip open song sama close song. Baru juga nonton satu episode anime dah gua hapus nih aplikasi."
Suindah Wati,2025-03-08,1,terlalu banyak iklan sehingga sangat menggangu
Reza Alfarizi11,2025-03-08,5,mantap min
iwan darmawan,2025-03-08,3,Wow
Robby Roby,2025-03-07,5,Bagus mantep dah pokoknya
Zaid Affan,2025-03-07,4,"saya mau komplain tentang subtitle,resolusi,dan anime. pertama,subtitlenya sering error. subtitle episode sebelumnya malah muncul di eps yang lain. kedua resolusi juga sering bermasalah! sudah diatur kok malah turun resolusi videonya? yang terakhir terkait anime.kalo memang harus pengguna premium yng bisa nonton anime premium, setidaknya yang bukan premium dikasi tau kalo anime yang mau dicari/ ditonton itu harus langganan. bukannya malah hanya ditampilkan ke yang langganan saja animenya"
Surya Aji,2025-03-07,1,Anime tidak lengkap untuk dubing English tidak ada subtitle Indonesia nya sangat buruk bener2 kecewa sih
Husnu Zulfikri,2025-03-07,1,"premium,trus sinyal nya ngga bagus padahal buat game lancar buat gogling lancar"
Dendy Ardian,2025-03-06,2,Premium semua
Nabhan Habibi,2025-03-06,3,Tolong di perbanyak untuk subtitle bahasa Indonesia. :(
Azidni Abrar,2025-03-06,5,Benar kata mereka semua nih devoloper
Jhonas Azriel,2025-03-05,4,Kenapa Alya something malah di premium aku kasih bintang lima kalau udah gratis
Dian Pranata,2025-03-04,2,Terlalu banyak iklan dan kalok mau nonton anime Eps 5 sampai kebawahnya harus premium
Atika Rahma,2025-03-04,1,"Pdhl nyoba vip gratis 7hri, malah dana saya kepotong, hati2 ya kawan2 apk penipu"
Hardy Gideon,2025-03-04,1,"Sudah bayar pket premium tapi tidak terkonfirmasi, sudah cba login lagi tapi mmg masih akun biasa belum premium. Mohon di bantu"
Vinz Ktrz,2025-03-03,1,SATU VIDEO BISA 10 IKLAN ISINYA 30K DETIK SEMUA HADUHHHHH
Hakaru Senzo,2025-03-03,1,"Banyak iklan gak ngotak, di kasih 5 iklan per 30 detik"
Ilyazz Yoo,2025-03-03,3,"anime nya sebagian ada sebagian tidak,seperti anime kubo San wa mob wo yurusanai tidak ada di aplikasi mohon anime yang tidak ada jadi ada bosan cari aplikasi lain buat cari anime yang tidak ada makasih :)"
Zidan Abianka rizki,2025-03-02,1,Tidak bisa login dan saat mau buat akun baru malah tidak bisa terus
赤 · X y r o u,2025-03-02,1,gk lengkap.
Aldi Prayoga,2025-03-02,4,Tolong buat sub indonya di Adain untuk semua judul cuman dikit yang bisa aku toton Karana permasalan sub
10_XI-D_ Daffa P.P.,2025-03-02,5,bagus
Bronx Id,2025-03-01,5,aplikasi ini bagus bgt apalagi bisa pake 240p untuk saya yang kalo nonton itu selalu hemat kuota
Arya Ikbal,2025-02-28,1,apk harama masukin akun google aja ngga bisa kan pada download lah ga rekomend banget👎
Alfarizy_I.S Laudza HR,2025-02-28,1,Tidak bisa masuk ke dalam apk
Bank Operator Indonesia,2025-02-28,1,"apaan sih gls orng ga pernah berlangganan TB"" uang gw ilang di dana oon bngt nih aplikasi"
Diva mart Samuel,2025-02-28,1,Jujur sub Indonesia nya tidak ada apalagi semua nya premium
Muhayat,2025-02-27,2,Gak ada takarir Indonesia jadinya jelek payah bagus mah bagus tapi kalo gak ngerti ngomong nya gimana
Za Za,2025-02-27,1,"JELEK,GAK BAGUS GAK BISA MASUK"
Zulfandi Bachtiar,2025-02-26,1,Subtitle indo untuk anime baru lama adanya dan untuk anime yg udah tamat banyak delaynya
Farid Hasan,2025-02-26,1,"Kualitas video nya ngebug, stack di 360p pdhl sudah berharap"
arraya irsyad,2025-02-26,1,Gak bisa nonton saya anyam
ZCraft CH,2025-02-25,1,Terlalu banyak iklan
Muhammad Sakbani,2025-02-24,4,untuk aplikasi ny lumayan mantap tapi untuk developer tolong ditingkat lagi yah🙏
サルマン・アルファリジ,2025-02-22,1,gabisa login bangke
zainuddin P_ EXC,2025-02-21,3,Kasih 3 dlu Masalahnya tidak ada fitur playback speed. Semoga dihadirkan karena saya lebih suka nonton di kecepatan tertentu
Lockjaw _444,2025-02-21,1,Ni klo daftar susah bgt nyink
Vanicha Amelia,2025-02-20,2,Ini gimana ceritanya admin crunchyroll. Aku kan udah langganan kok malah di suruh bayar langganan lagi buat bisa pakai akun aku sendiri. Tolong yg bener dong.
Kuwanto Kuwanto,2025-02-20,4,"bagus sih, walau ngak terlalu sempurna. sayangnya update pembayarannya diarahin ke google play store tapi ngak ada crunchyroll. adanya YouTube, ntah ini bug atau apalah. updatenya cuman bisa nunggu langganannya habis baru bisa bayar lewat aplikasi crunchyroll. itupun opsinya cuman ada batalkan langganan kalau langganan nya belum habis. harus nunggu langganannya habis baru bisa bayarnya. 😞mohon diperbaiki lagi sistem update pembayaran perbulannya."
zaki ahmad (Alien Gaming),2025-02-20,5,"Banyak film yang saya ingin tonton dan seru juga. Kualitas video sudah bagus banget, Tapi tolong sediakan subtitle bahasa indonesia di semua anime. saya harus berfikir lagi jika ingin memahami animenya. Kadang saya sampai malas menontonnya lagi. Jadi tolong update dan beri semua anime subtitle bahasa indonesia. Terima kasih semoga lancar dan semangat untuk membuat subtitle bahasa indonesia."
Abang Fathir,2025-02-19,2,kebanyakan iklan gua kira 1 titik nya tu 1 iklan ternyata 1 sampe 5 iklan
Ridho Hardiansyah,2025-02-19,2,kok ga ada anime hajime no ippo?🥲
Kaizo Range,2025-02-18,1,Login nya ribet bangett
Sunaookami Shiroko,2025-02-17,1,Burig GK usah di download
Moekito,2025-02-17,1,"Bad very bad, crunchyroll is very inconsistent anime simulcast subtitle indonesian. much better bilibili (Bstation)"
Ghost,2025-02-17,1,Ini kenapa bahasa tampilan saya jadi rusia??
Thariq Hamdi,2025-02-17,5,bagus
Ernisa putri wandira,2025-02-17,1,Aplikasi yang jelek 👹👺👹👺 banyak iklan nya gk usah donlod
Zaskia Rahmadhany,2025-02-16,5,oke👍
Aditya Putra,2025-02-15,1,Kaga jelas banget solo leveling dari kemarin sub indonesia sekarang eps 19 malah sub eng kapok berlanganan disini sering bgt kadang 3 eps kadang 5 eps doang yang sub indonesia
AGUNGS 521,2025-02-15,1,"Sedikit kecewa dengan apk ini....terlalu banyak iklan,untuk kualitas dan subtitle sudah lumayan,tapi hanya satu musuh para viewers...cuma iklan, sebenarnya saya tidak keberatan dengan iklan,tapi saran saya jangan terlalu sering untuk memberikan iklan pada video, sangat mengganggu,saya harap masukkan saya dapat membantu."
Miyo Sasaki,2025-02-15,3,Pilihan Anime nya sangat terbatas jika dibandingkan sama aplikasi macam Loklok/Bstation ini kalah jauh😂
Veteriner Firdaus,2025-02-14,1,"Aplikasi anjg gk selesai"" loading bngzd"
Muhammad Rasyid,2025-02-13,4,"tolong tambahka shortcut untuk keyboard ketika sedang memutar video. saya menggunakan tablet android dengan keyboard, dan akan merasa lebih nyaman lagi ketika bisa menggunakan shortcut keyboard tersebut ketika memutar video, sama seperti pada youtube."
Randy Firmnsyh,2025-02-13,1,terlengkap pala kau ajg minim sub nysel beli premium
Aca_Ez,2025-02-12,3,to long ads vid
Untung Wahyudi,2025-02-11,1,Anime tidak lengkap
Game Game yu,2025-02-11,3,Untuk terjemahan indo nya kurang ada beberapa anime yang udah lama tapi belom ada terjemahan nya terus kadang ngilang lagi terjemahan nya tolong perbaiki masalah terjemahannya
Ethernise,2025-02-11,5,"Grafik oke, subtitle oke, dubbing juga oke. Overall pengalaman nonton nyaman. Saran saya, tambahin mekanisme achievement atau peringkat berdasarkan jumlah anime yang ditonton. Biar makin bagus, bisa juga ditampilkan statistik jumlah anime, episode, dan total jam yang sudah ditonton."
AHMAD FAUDZI AAF,2025-02-11,3,mengunduh memerlukan banyak penyimpana
bagus tuladanny,2025-02-10,1,Kartu kredit terbobol gara² berlangganan di CRUNCHYROLL
Mursil Ruchardo (Mursil),2025-02-10,1,Boycott
Kamado Zenitsu (zenith),2025-02-09,3,すみません、広告を減らしてもらえますか？ 😅
Refani Rahma Sari,2025-02-08,5,Anime nya kerennnnn
Hp Vivo,2025-02-07,1,Aplikasinya boros kota internet kalau yang montok pak kouta mending jangan pake aplikasi ini
Melisa Herlina,2025-02-07,5,Semoga bermanfaat untuk saya
Ardi Zr,2025-02-04,1,Banyak Premiumnya Cari untung
Adeeva Afsheen Myesha,2025-02-04,1,"Aplikasi nya susah masuk meski jaringan bagus, dan pendaftarannya lama sehingga harus membuat akun. Juga kebanyakan film yang premium"
Faishal Ibrahim,2025-02-03,1,"Dikit dikit iklan, dan kenapa harus premium kalo mau nonton anime tertentu😡😤😡👺"
Felicia,2025-02-02,1,Tidak bisa log in ke dalam aplikasinyaa
ABIY RAYYAN,2025-02-02,5,sangat baik
Aldiansyah,2025-01-31,3,"For the anime, it's complete, but why are there so few Indonesian versions? I want to watch my favorite anime with Indonesian subtitles, but my favorite anime that I want to watch doesn't have an Indonesian subtitle version. I'm really disappointed."
IBNU Kanur,2025-01-31,5,Anime episode hebattt aa😊
Renz Z,2025-01-31,2,"Gak jelas! apa apa premium,developernya kikir nih"
Kaitan TN,2025-01-31,2,"untuk fitur² nya ok cuma mines nya anime Overlord kok ga ad ya bahkan dri season 1-4 ga ad , knp min?"
fahmy rzp,2025-01-30,5,Tambahin subtitle Indonesia di semua film dan series klo bisa sm dubbingnya
Suhar,2025-01-29,4,"Yuk bisa yuk, full Takarir Indonesia. MW pindah dri Bstation, tapi yg ini blom full sub indo."
Muhammad Rizky Aditya,2025-01-29,1,Ini Mah Nonton Iklan Bukan Nonton Anime
Phillipus Alfon,2025-01-29,2,"Iklannya brutal! 1 iklan 30 detik, sekalinya muncul iklan kyk di tv! Lgsg 6!"
ssiippaa,2025-01-28,4,"kok gabisa masuk ya, padahal alamat email nya udah bener kok sama kata sandi nya jugak"
Nizam Fareza,2025-01-27,2,Saran saya semoga sub indo ditambahkan ke semua anime
Daphkiell.,2025-01-27,4,"overall sih bagus, cuman ada satuuuu aja kekurangan nya, yaitu nyari perangkat buat nonton nya di tv, nah itu dia, gw nyari perangkat nya lamaa bgt pdhl udh deket deket sama tv tpi masih aja nyari perangkat nya tuh lama bgt, oke itu aja keluhannya keseluruhan nya sih bagus"
Anindya Bororing,2025-01-26,1,Udah masukin email 5x dan tetep gk bisa?!
azzah hanifah,2025-01-26,4,banyak animenya tapi kenapa semenjak berlangganan malah kebanyakan sub English 😭😭😭😭
Tsar'bomba,2025-01-25,5,Baru tau ini apk
SapiGAMER,2025-01-25,5,more other manga episodes🤩
Suhartoyo Bendowulong,2025-01-25,1,Bagusih tapi iklannya terlalu lama sama banyak loadingnya
ANIME CHANNEL,2025-01-25,1,"Beberapa minggu lalu saya tidak sengaja pencet premium lalu apk nya saya hapus karena kebanyakan anime harus premium, lalu beberapa hari yang lalu waktu saya melakukan top up tiba"" Uang saya hilang ternyata untuk membayar premium aplikasi ini, padahal saya sudah menghapus aplikasi nya"
Tio Ramadhan,2025-01-24,5,"Untuk segala fiturnya bagus, dan ada saran dari ku untuk menambahkan PIN Profile, Dan menambahkan anime dengan subtitle Indonesia lebih banyak"
Govinda Aurell,2025-01-24,2,Hampir semuanya premium
Idho Ello,2025-01-24,4,"Mengapa setelah saya sudah menggunakan akun google tapi tidak dapat masuk,padahal saya sudah menggunakan akun google yang benar dan kata sandi yang benar tapi tidak dapat masuk.Tolong di perbaiki masalah ini"
samsul rizal,2025-01-23,4,GK sia sia download bagus bgttt😭😭
Rein2012 “Rein”,2025-01-22,3,"bagus, yg dub English kurang byk menurut gw. yg prem kebanyakan, JD g nyaman nonton nya"
dicky wildan,2025-01-22,2,"Mau nonton Medaka Kuroiwa, eh malah subtitlenya salah, gimana nih eps 2 malah subtitle nya eps 1, trus eps 1 gak ada subtitlenya, jangan² eps 3 subtitlenya eps 2 dan seterusnya gitu? Kenapa gak dicek dulu dah, percuma ada subtitle selain EN, terpaksa harus pake EN sub."
Sandi Ajah,2025-01-21,1,"Aplikasinya bagus, tapi kepa kebanyakan anime di Crunchyroll bersifat Premium???? Tolong untuk beberapa anime terutama anime yang berjudul "" Sasaki to Miyano "" sifat Premiumnya di hilangkan🙏😭"
Siswanto Zaky,2025-01-21,5,i'm sory if in my past i watch pricone ilegal but now not
shinji,2025-01-19,1,Anjim iklan nya banyak bet
Khai Rullah,2025-01-19,2,Tidak dapat login
Adit Kusuma,2025-01-19,4,Bagus enak ditonton ya
Sri Mulyani,2025-01-18,1,Gak ada kimi no todoke
Ainur Rahman,2025-01-18,3,Kasik subtitel Bahasa Indonesia untuk yang berlangganan dong kalok bisa sekalian audionya
Salsa Salsa,2025-01-18,1,Aplikasi apaan ini login aja nggak bisa 👎😤
Tautan RSN.33,2025-01-17,1,Susah co login nya padahal udah buat akun Gugel baru tetep aja ga bisa
Tarinih Tarinih,2025-01-16,1,"Apa keistimewaan apps ini, Banyak anime yang tidak ad"
Cut Putri,2025-01-16,5,Thank you
Addin Naufal,2025-01-16,2,"subtitlenya bahasa indonya lambat banget jadi kesel, terutama di dragon raja giliran pake sub inggris dub china malah lebih sesuai, tolong lebih di perhatikan lagi pace subtitle sama dub nya biar sesuai"
Adii Riyanto,2025-01-15,2,Ya allah tolong kembalikan dana saya tiba tiba ketarik otomatis di akun DANA sebesar 432.000 itu sepertinya tidak sengaja kepencet fitur langganan nya saya mohon kembalikan uang saya saya sangat membutuhkanya
Arkan Sabit,2025-01-15,1,👎🏻👎🏻
Cexlyzotsz,2025-01-13,3,"halo min, tolong tambahin anime yang lain, dan ada season nya🙏"
Hamdi,2025-01-12,1,do you feel proud
A- F4DL1,2025-01-12,4,"sejujurnya animenya lengkap, tetapi untuk subtitle bahasa indonesia tidak semua anime tersedia. padahal banyak pelanggan dari indonesia loh. yah semoga kedepannya semua anime tersedia subtitle indo. saya memohon 😔"
Ferishka Olla,2025-01-10,1,kagak bagus mau nonton eh malah ngak ada di pencarian nya
Ari Purnama,2025-01-10,1,"Masak gak ada detective conan??? Bad aplikasi, no detective conan in Indonesia"
Asnaf Account,2025-01-10,1,Saya tidak suka karena ada episode permeumim
M. Nasih,2025-01-10,1,Apk kaga jelas
Dwiiwansantoso Iwansantoso,2025-01-10,1,Masa gue mau masuk login ga bisa aplikasi apa apan ini aplikasi ko kaya sampah masa ga bisa di buka
Alif Stevano,2025-01-08,2,Awalnya Gw kira Aplikasi Top 1 buat nonton Demon Slayer Karena Gw liat cmn disini yg lengkap epsnya sejauh ini Eh ternyata Season 2 sampai habis Harus BAYAAAARRR Lu kalo mau cari untung tu kaga usah kaya gituu .Kalau Season 2 sampai habis udh bisa tanpa Premium gw kasih bintang 4
Thoriq Fikrie,2025-01-08,3,"Terlalu banyak iklan, tidak ada kompensasi. Apk sebelah iklan cuma 1x. Bye2"
Alexa Suhita Sando,2025-01-08,1,"katanya banyak yang gratis,, ko premium semua wkwk,, mana nyarinya apa keluarnya apa,, updeatannya telat semua,, jlek cuyy"
Flaxxy3clipse,2025-01-08,1,Why is there only popular animes dawg :// and half of it is just premium ☹️
mfajri ilahi,2025-01-08,1,jangan pernah mau klo premium nanti klo udh di hapus premium nya masih berlanjut
Santi i,2025-01-07,1,Maaf ini aplikasi sngt buruk bahkan saya sudah daftar tapi harus membawa sandi Emil.sandi email ku BNR TPI di buat ndaftar tetep GK bisa di tolak aku kasih 1 ajah maaf
Udin Mendunia,2025-01-06,5,Untuk developer tolong tambahin subtitle Indonesia..🙂‍↕️🙂‍↕️
Alhamdu Akhtar,2025-01-06,1,Kocak berbayar
Ilham2sibuk,2025-01-05,2,Bisa ditambah kan manga goukon ni ittara onna ga inakatta hanashi Saya cari di manga kok nggak ada ya
Rizki_Wiski,2025-01-05,1,Trash
ken,2025-01-04,5,apakah aplikasi cruchyroll ini ilegal maaf sudah bertanya begini karena saya takut ini ilegal🙏
Nanud,2025-01-04,1,Hijrah ke bstation😹
Rido Maulana,2025-01-04,4,bagus
『 SUND27 』,2025-01-04,3,bagus sih bagus coman kenapa pake bahasa arab bjir
ALIFF sk Dwi,2025-01-03,5,Keren
faa?,2025-01-03,5,Nice
syifa Wirda,2025-01-03,1,Gimana nih min😞 gw dah masukin gmail yang bener tapi tetap slah lain kali teliti min ada kali gw ngulang 20 kali 😡
編集Yuxky,2025-01-02,5,I wish there was a setting for the anime title to change to Japanese romaji.
Muhammad Nabil Alghifari Mamonto,2025-01-02,4,Bagus aplikasinya animenya juga banyak tapi enggak semuanya ada subtitle Indonesia semoga kedepannya lebih banyak lagi yang ada subtitle Indonesia nya
Mahya 123,2025-01-01,1,di episode 1-3 gratis tapi sisanya harus bayar gk kaya apk sebelah gratis sekian terimakasih
Fahmi HamzahF,2025-01-01,1,apalah ga lengkapp❌❌
Queen Lunar,2025-01-01,1,Dasarrrr yg buat saya sudh masukkan email yg bener passwors yg bener ttp aja gagal udh ganti email berulang kali ttp gk bisa jadi saya ksih bintang 1
Rendi Nu,2025-01-01,1,Aplikasi anehh banyak iklan. Pada lama lagi iklan nya 1 pidio 11 kali iklan tolong lah minimal 3 iklan
Bloody Cloud,2025-01-01,1,"SAYA TIDAK PERNAH DOWNLOAD APK ANIME SEBURUKK INIIIIIII.... KALO GK BISA BUAT APK JAN BUAT YAA, MENDING UANG LO BUAT NYEWA LCC SSUU"
Nopal Nauval,2025-01-01,1,Kok lama masuk dalamnya
Muhammad Akbar,2025-01-01,1,Saya udah tulis email dan sandinya berkali kali tapi invalid jadi ini kenapa ya
Muhammad Ikhsan,2025-01-01,5,"Bagus banget, bisa dibilang lengkap, tapi sayangnya subtitle indonesianya lambat keluar, harus nunggu 1 pekan lagi. Ini saran dari saya, tolong dipercepat untuk subtitle indonesianya"
Nizar Maulana Qutni,2024-12-31,5,bagus
Karl Firjatullah,2024-12-31,3,Mungkin bisa di optimalkan lagi untuk video nya terlalu berat untuk di play kalo make wifi atau jaringan yg kurang stabil bakal banyak buffering pas nonton mungkin bisa di optimalkan sisa nya udah ok banget 🙏
Areya Yaroo,2024-12-30,2,Percayalah pasar Indonesia sangat banyak penonton anime nya anda harus menambah subtitle Indonesia kalo mau bersaing di aplikasi sebelah. Saya tunggu tanggapan nya. BONUS 1 bintang
Syafira Rafa,2024-12-30,4,Seru tapi banyak prium
4Get Gali,2024-12-30,5,mantap
Revew Game,2024-12-29,1,Kapitalisasi
Rahmadi Nur,2024-12-29,5,"Ok saya ubah ternyata yg kupilih dub eng, pantes gak ada subtitle Indonesia 😅"
Amzad Muhammad,2024-12-28,3,Apakah disini ada sonic 3?
Hanan Agin,2024-12-28,1,min tolong kembalikan uang saya yang senilai 43.290 ilang tiba tiba karena aplikasi ini sya sngat membutuhkan uang itu
Dhiki Aditia,2024-12-27,1,jelekkkk
Ananda Sudrajat (Sura),2024-12-27,5,walau kurang lengkap untuk region indonesia tp saya kasih bintang 5 karena ada Disgaea
Gading,2024-12-27,5,"zejauh ini masih baguz, mabtao lah"
Fikhia A.z,2024-12-26,1,"Iklan terlalu banyak! Paling ga ya, iklan nya masuk akal dikit napa! Ini 5 sampai 6 iklan sekaligus"
Abil 123,2024-12-25,1,Pen masuk apl padahal udah bener email sama sandi tetep ga bisa masuk🤬
Batman,2024-12-25,1,apaan nih anjr dikit² premium😹😹 mending bstasion
